ja	en	zh-tw	zh-cn
『東京放課後サモナーズ』\n最新データの更新が完了しました	Update complete.	《東京放學後召喚師》\n最新資料更新完畢	“东京放学后召唤师”的最新数据已更新完毕
『東京放課後サモナーズ』最新データに更新しています	Updating Tokyo Afterschool Summoners.	正在更新《東京放學後召喚師》的最新資料	正在更新“东京放学后召唤师”的最新数据
必ず正しい年齢を選んでください。	Por favor, certifique-se de selecionar a idade correta.	請務必選擇正確的年齡。	请务必选择正确的年龄。
年齢により召喚石を買える限度額が決まっています。	O limite para compra de Gemas Transientes varia de acordo com a idade.	能購買的召喚石額度依年齡而異。	购买召唤石的限额依玩家年龄而异。
転光石を使用	Use Transient Stone	使用轉光石	使用转光石
残り	left	剩下	剩余
購入したい転光石のセットを選択して下さい	Por favor, selecione o set que deseja comprar.	請選擇欲購買的轉光石組合包	请选择需要购买的转光石礼包
現在の転光石所持数	Transient Stones owned	目前轉光石持有數	当前的转光石持有数量
現在、購入処理を行っています……少々お待ち下さい	Processing purchase. Please wait.	處理中……請稍候	目前正在进行购买处理……请稍等片刻
スタミナミニを使用	Use Stamina Minor	使用迷你體力飲料	使用体力（少量）
スタミナフルを使用	Use Stamina Drink	使用全體力飲料	使用体力（满）
スタミナハーフを使用	Use Stamina Major	使用半體力飲料	使用体力（半）
あなたの年齢を選択して下さい	Selecione sua idade.	請選擇您的年齡	请选择你的年龄
アイテムを使用してAPを回復しますか？	Use item to replenish AP?	是否要使用道具回復AP？	是否要使用道具恢复AP？
20歳以上…制限無し	20 anos ou mais: Sem limite	20歲以上……無限制	20岁以上…无限制
"16歳未満…1月あたり\5,000円以下"	Menores de 16 anos: Até 5.000 ienes/mês	"未滿16歲……每個月5,000日圓以下"	"16岁以下…每月\5,000日元以下"
"16歳以上…1月あたり\20,000円以下"	"16 anos ou mais: Até 20.000 ienes/mês"	"16歲以上……每個月20,000日圓以下"	"16岁以上…每月\20,000日圆以下"
連続ログインボーナスは毎日のログインが途切れるか\n	"Se o login diário for interrompido, o bônus de login consecutivo\n"	連續登入獎勵在每天的登入中斷\n	连续登录奖励在每日登录中断或\n
恋人たちの記憶	Sweetheart Memories	戀人們的記憶	恋人们的记忆
恋愛関係を消去するにはアイテム「勿忘草」が必要となります。\n(現在の所持数：{0})\n	A Forget-Me-Not is required to erase a relationship.\n(Currently owned: {0})\n	若要解除戀愛關係，需要道具「勿忘草」。\n（目前持有數：{0}）\n	解除恋爱关系需要使用道具“勿忘草”。\n（当前持有数量：{0}）\n
恋愛クエスト	Love Quest	戀愛任務	恋爱任务
恋愛	Love	戀愛	恋爱
要限界突破	Vital Breakthrough	需突破界限	需要突破界限
曜日	Dia da Semana	星期	星期
容量が大きい為、wifi環境での実行推奨	"Due to the large volume of this download, we recommend proceeding over a Wi-Fi connection."	由於容量較大，建議在wifi環境下執行	由于容量较大，建议在wifi环境下运行
未設定	Not set	未設定	未设置
未開放	Locked	未開放	未解锁
本編	História Principal	主線	主线
保存結果の取得ができませんでした。	Unable to retrieve saved data.	無法取得保存結果。	未能成功获取保存结果。
保坂俊行	Toshiyuki Hosaka	保坂俊行	保坂俊行
編成コスト最大値を超えています。	Team cost exceeded.	超過了編組COST最大值。	超出了组队消耗的最大值。
閉じる	Fechar	關閉	关闭
富士蒼涼	Sosuke Fuji	富士蒼涼	富士苍凉
不明	Unknown	不明	不明
不足	insufficient	不足	不足
苗字&名前は5文字以内で	Up to 5 characters each for first and last names.	姓氏及名字請在5個字以內	请输入姓名（不多于5个字符）
必要個数	Unidade(s) Necessária(s)	所需數量	需要数量
配置データの保存に失敗しました。	Failed to save configurations.	配置資料儲存失敗。	配置数据保存失败。
入力して下さい。	This field must be filled out.	輸入。	请输入。
入力されていません。	Required field is empty.	輸入未完成。	玩家姓名。
入手したカードおよび<br>神器Lvアップは<br>即時反映されます。	Cards and Sacred Artifact<br>upgrade items obtained<br>will appear immediately.	獲得的卡片及<br>提升神器等級<br>會即時生效。	获取的卡片及<br>神器升级<br>将立即生效。
入手したアイテムは<br>即時反映されます。	Newly acquired items<br>will appear immediately.	獲得的道具<br>會即時生效。	获取的道具<br>将立即生效。
{0}日目	Dia {0}	第{0}天	第{0}天
読み込み中	Carregando	讀取中	正在读取
特別イベントシナリオ	Special Event Scenario	特別活動劇情	特别活动剧情
特殊イベント	Special Event	特殊活動	特殊活动
特殊	Special	特殊	特殊
転光石を使って復活しますか？	Use Transient Stone to restore?	要使用轉光石復活嗎？	要使用转光石复活吗？
転光石×1で復活	Restore with 1 Transient Stone	用轉光石×1復活	用转光石×1复活
転光石	Gema Transiente	轉光石	转光石
天野ユウ	Yu Amano	天野優	天野悠
撤退する(消費リソースは失われます)	Retreat (AP will be lost)	撤退（將失去AP）	撤退（将失去AP）
撤退する	Retreat	撤退	撤退
敵に自属性	damage of your own element against target	對敵人施加自身屬性	对敌方赋予自身属性
通信環境をご確認のうえ、再度お試しください。	Please try again after checking your connection.	請確認連線環境後再次嘗試。	请确认网络环境后重试。
通信環境の良いところで再度お試しください。	Please try again later with a stronger connection.	請到訊號較佳處後再次嘗試。	请在网络环境良好的地方重试。
通信に失敗しました。	Connection failed.	連線失敗。	通信失败。
通信に失敗しました	Connection failed.	連線失敗	通信失败
通信エラーが発生しました。	Connection error.	發生連線錯誤。	发生通信错误。
通信エラーが発生しました	Connection error.	發生連線錯誤	发生通信错误
通算ログイン	Todos os Logins	累積登入	累计登录
注意！チームリーダーと対象キャラが同一です。	Uh oh! The targeted character is the team leader.	注意！隊伍隊長和對象角色為同一人。	注意！队长与对象角色是同一人物。
仲間ユニットが全員倒れました。	All of your units have been KOed.	夥伴全都被打倒了。	我方全队已被打倒。
仲間との思い出	Male	與夥伴的回憶	与伙伴的回忆
男	Man	男	男
他	Other	其他	其他
相手の戦友数が上限に達していた為、申請できませんでした。	Request could not be sent because the recipient has reached their maximum number of Friends.	對方的戰友數已達上限，無法申請。	对方的战友数已达上限，无法进行申请。
<br>全てのチュートリアルを完了しました！<br><br>新宿区エリアに新たに登場した<br>メインクエストを進めましょう！	<br>Você conpletou todos os tutoriais!<br><br>Prossiga para a Missão Principal<br>que apareceu na área do Distrito de Shinjuku!	<br>完成所有教學了！<br><br>進行新宿區新登場的主線任務吧！	已完成所有教学！<br><br>快开始新宿区区域新解锁的<br>主线任务吧！
戦友数が上限に達していた為、申請できませんでした。	Request cannot be sent as maximum number of Friends has been reached.	戰友數已達上限，無法申請。	您的战友数已达上限，无法进行申请。
戦友申請を送信しました	Friend request sent.	發送了戰友申請	已发送战友申请
戦友承認に失敗しました。	Unable to approve Friend request.	加入戰友失敗。	战友认证失败。
戦友Pt	Pontos de Aliado	戰友點數	战友点数
戦友	Ally	戰友	战友
<br>先ほど入手した「アカオニ」の<br>キャラクターカードを選択しましょう。	<br>Selecione a carta de Oni Vermelho que você conseguiu mais cedo	<br>選擇剛剛得到的<br>「赤鬼」角色卡片吧。	<br>请选择刚刚获取的“红鬼”角色卡片。
エネミーレベル	Level Inimigo	敵人等級	敌人等级
吹き飛ばし	Blast	擊飛	吹飞
申請破棄に失敗しました。	Failed to withdraw request.	取消申請失敗。	取消申请失败。
新しいクライアントがリリースされています。	Uma nova versão está disponível para download.	已發佈新的客戶端資料。	已发布新的客户端。
上記	Above	上述	上述
上のスライダーを左右に動かして最大50個まで一括交換出来ます。	Move the slider above to exchange up to 50 units at a time.	左右滑動上面的滑動條，最多可以一次交換50個。	左右移动上方的滑动条，最多可一次性交换50个。
消費スタミナ	Custo de Stamina	消耗體力	消耗体力
松井菜桜子	Naoko Matsui	松井菜櫻子	松井菜樱子
女	Female	女	女
所持個数	Possuído4: 	持有數	持有个数
終了時間の予定については『東京放課後サモナーズ』公式ウェブサイト（https://housamo.jp)をご参照ください。	"To confirm the scheduled ending time, please check the Tokyo Afterschool Summoners homepage. (https://housamo.jp/en/)"	關於預計的結束時間，請參考《東京放學後召喚師》官方網站（https://housamo.jp/tw/）。	关于预计的结束时间，请参阅“东京放学后召唤师”的官方网站（https://housamo.jp/zh/)。
弱体無効	Nullify debuff	弱化無效	弱化无效
弱体反射	Reflect debuff	弱化反射	弱化反射
<br>次は先ほど手に入れたアイテムで<br>カードのLvを強化してみましょう。<br><br>「レベル強化」を選択してください。	Tente usar o item obtido anteriormente para upar o level da carta.<br>Selecione Upar.	<br>接下來就試試用剛才到手的道具，<br>來強化卡片等級吧。<br><br>請選擇「強化等級」。	下面就试着用刚才获取的道具对卡片进行升级吧。<br><br>请选择“升级”。
残Turn	Remaining Turn(s)	剩餘回合	剩余回合
山口勝平	Kappei Yamaguchi	山口勝平	山口胜平
最大	Max	最大	最大
最終ログイン	Último login	最後登入	最后登录
再入力パスワードが\n正しく入力されていません。	Passwords do not match.	再次輸入的密碼\n不正確。	重新输入的\n密码不正确。
再挑戦	Retry	再次挑戰	重新挑战
再試行	Try again	再次嘗試	重试
左から２番目の空白のカードをタップして<br>アカオニを自チームの２番目へ編成してみましょう！	Toque no segundo quadrado vazio da esquerda para colocar<br>o Oni Vermelho na segunda posição do seu time!	點選左邊數過來第2個空白的卡片欄位，<br>把赤鬼編入我方隊伍的第2位置吧！	请点击左起第2张空白卡片，<br>将红鬼编入我方队伍的2位吧！
今後のアップデートを、今しばらくお待ちください。	Please wait for the next update.	請靜待今後的遊戲更新。	请耐心等待今后发布的游戏更新。
更新処理を行います。	Updating.	進行更新處理。	执行更新处理。
交換不可	Not exchangeable	不可交換	不可交换
交換済み	Exchanged	已交換	交换完毕
交換可	Exchangeable	可交換	可交换
交換を完了しました。	Exchange complete.	交換完成。	已完成交换。
交換ができませんでした。	Unable to complete exchange.	無法交換。	未能交换。
個	 unit(s)	個	个
限界突破素材	Breakthrough Materials	突破界限素材	突破界限材料
限界突破実施時の予想結果を表示	Displays expected results upon undergoing Breakthrough.	顯示突破界限時的預期結果	显示突破界限时的预期结果
限界突破アイテム	Item de Refinamento	突破界限道具	突破界限道具
現在の所持数：{0}個	You own: {0} unit(s)	目前持有數：{0}個	当前持有数量：{0}个
現在、解放可能なメインクエストをすべてクリアしました。	All main quests that are currently unlockable have been completed.	目前已通過所有開放中的主線任務。	已经完成目前可解锁的所有主线任务。
現在、メンテナンス中です。	Currently undergoing maintenance.	現在正在進行維修。	目前正在进行维护。
現在、この地域で選択できるクエストはありません。	There are no quests currently available in this region.	此地區目前沒有可供選擇的任務。	当前区域没有可选任务。
経験値強化アイテム	XP Upgrade Item	經驗值強化道具	经验值强化道具
経験値アイテム	XP Item	經驗值道具	经验值道具
強化無効	Nullify Buff	強化無效	强化无效
強化アイテムをタップすることで最大２０個まで<br>選択することができます。<br><br>先ほど手に入れた強化アイテムを選択して<br>左上の「OK」を押しましょう。	Toque para selecionar até 20 itens de aprimoramento de uma vez.<br><br>Selecione seus itens de aprimoramento recém-adquiridos e<br>toque no botão OK no canto superior esquerdo da tela.	最多可點選20個強化道具。<br><br>選擇剛剛得到的強化道具，<br>並按下左上的「OK」吧。	通过点击强化道具，可选择最多20件。<br><br>请选择刚刚获取的强化道具，<br>并按下左上方的“OK”。
距離を取る敵に対しては、上の方へ自軍のコマを移動させて攻撃を当てていきましょう！	Move your units up to directly attack enemies who keep their distance.	對於保持距離的敵人，往上方移動我軍的棋子，並進行攻擊吧！	对于距离较远的敌人，建议将我方的棋子向上方移动，攻击敌方！
貴重なアイテム「勿忘草」を消費して\n恋愛関係を消去する事が出来ます。\n(現在の所持数：{0})\n本当に実行しますか？\n	Forget-Me-Nots are a rare item that can be used\n to forget a relationship.\n(You have: {0})\nAre you sure you want to proceed?\n	消耗貴重道具「勿忘草」即可以解除戀愛關係。\n（目前持有數：{0}）\n確定要執行嗎？\n	消耗珍贵道具“勿忘草”可解除恋爱关系。\n（当前持有数量：）\n确定要执行吗？\n
既に入手済みです。	Already obtained.	已領取。	已领取。
基本アイテム	Basic Item	基本道具	基础道具
拡張アイテム	Expansion Item	擴充道具	扩展道具
<br>画面右下の「編成・強化」ボタンから<br>ガチャで入手したカードを<br>チームの３番目へ編成してみましょう！	<br>Toque no botão Equipe/Aprimorar<br>no canto inferior direito da tela<br>para colocar outra carta no terceiro slot de sua equipe!	<br>點選畫面右下方的「編組與強化」，<br>試著把召喚獲得的卡片編入隊伍的第3位置吧！	<br>点击画面右下方的“队伍与强化”键，<br>试着将抽取的卡片编入队伍中的３号位吧！
<br>画面右下の「編成・強化」ボタンから<br>カードを強化してみましょう。	"<br>Touch the ""Team/Upgrade"" button at the bottom right<br>of the screen to upgrade the card."	<br>點選畫面右下方的「編組/與強化」，<br>試著強化卡片吧。	<br>点击画面右下方的“队伍与强化”键，<br>试着强化卡片吧。
画面の更新後、再度お試しください。	Please try again after reloading the screen.	請於畫面更新後再次嘗試。	画面更新后，请再试一次。
画像や音声のデータを一括ダウンロードすることで	By pre-downloading image or sound data	透過統一下載圖片與聲音檔案	通过对图像及声音数据进行打包下载
過去に終了したイベントのクエストをプレイすることができます。	Quests from past events can be played here.	可遊玩已結束的活動任務。	可进入已经完成的活动进行任务。
<br>下の「強化実行」をタップすることで<br>選択した内容で強化を行うことができます。<br><br>「強化実行」を選択しましょう。	"<br>Ao tocar no botão Confirmar abaixo,<br>os itens selecionados serão usados para aprimorar a carta.<br><br>Selecione Confirmar e experimente."	<br>點選下面的「執行強化」，<br>便可執行選擇的強化內容。<br><br>點選「執行強化」吧。	<br>点击下方的“执行强化”，<br>可对所选内容进行强化。<br><br>请选择“执行强化”。
引継ぎ登録に失敗しました。	Transfer attempt failed.	繼承登錄失敗。	继承注册失败。
引継ぎコードを発行しました。	Transfer number has been issued.	已發行繼承碼。	已发布继承代码。
一致していません。	Does not match.	不一致。	不一致。
一括ダウンロードを実行しますか？	Pre-download?	要執行統一資料下載嗎？	确定要执行打包下载吗？
以下の番号をメモして保管して下さい。	Please save the following number and keep it in a secure place.	請記住以下號碼並妥善保管。	请记录下列编号并妥善保管。
以下のアイテムを受け取りました。	Received the following items.	已領取以下道具。	已成功领取下列道具。
以下のアイテムの受け取りができませんでした。	The following items could not be received.	無法領取以下道具。	未能成功领取下列道具。
以下のアイテムには所持数最大制限があります。これを超えて入手した場合、消滅します。	There is a maximum allowance for the following items. Any items obtained in excess of that allowance will disappear.	以下道具的持有數有上限。若超出上限，多出的道具將會消失。	下列道具的持有数量设有上限。超出上限后获取的道具将自动消失。
{0}を入手する	Obtenha {0}.	獲得{0}	获取{0}
{0}を入手しました！	Obtained {0}!	獲得了{0}！	已获取{0}！
{0}を入手し、限界突破させる	Tenha {0} e realize um Refinamento.	獲得{0}並突破界限	获取{0} ，突破界限
を入手！	obtido(s)!	獲得！	获取！
{0}を使用しました。	Used {0}.	使用了{0}。	已使用{0}。
{0}を限界突破させる	Tenha o Refinamento de {0}.	讓{0}突破界限	让{0}突破界限
レベル強化	Upar Level	強化等級	强化等级
リトライ	Retry	重試	重试
リーダー	Líder	隊長	队长
より快適にプレイすることができます。	for smoother gameplay.	可更順暢地遊玩。	可以更加畅快地进行游戏。
ユーザーが見つかりませんでした。プレイヤーIDを再確認して下さい。	User not found. Please confirm Player ID.	未搜尋到玩家，請再次確認玩家ID。	未找到该用户。请重新确认玩家ID。
ユーザーが見つかりました。	User found.	搜尋到玩家了。	已找到该用户。
もう一度、入力して下さい。	Please re-enter.	請再輸入一次。	请重新输入。
メニューの「ギルド」から自分のギルドへ行ってみましょう！	Visit your own guild by selecting My Guild from the menu!	從選單中的「公會」到自己的公會看看吧！	通过菜单中的“公会”进入自己的公会吧！
メッセージ数	Cont. de Mensagens	訊息數量	消息数
メッセージの一括受け取りが完了しました。	All messages read.	已接收所有訊息。	已完成消息的批量接收。
メッセージBOXからお受け取り下さい。	Sent to your Message Box.	請從收件箱領取。	请通过收件箱领取。
メインシナリオ	Main Scenario	主線劇情	主线剧情
メインクエストを進める	Prossiga com a Missão Principal	進行主線任務	推进主线任务
メイン	Principal	主線	主线
<br><br>マップ上の「新宿区」のボタンから<br>次のクエストへ進みましょう！	<br><br>Toque no Distrito de Shinjuku no mapa para avançar para a próxima missão!	<br><br>點選地圖上的「新宿區」，<br>前往下一個任務吧！	<br><br>请点击地图上的“新宿区”按钮，<br>进入下一个任务吧！
プレイヤー名が正しく	Handle was not correctly	玩家名稱未正確	没有正确输入
プレイヤー名&あだ名	Handle & Nickname	玩家名稱＆暱稱	玩家姓名&昵称
フリー	Gratuita	自由	自由
パスワードと再入力が	Passwords do not match.	密碼與再次輸入	密码与重新输入的密码
パスワードが\n正しく入力されていません。	Incorrect password.	輸入的密碼\n不正確。	输入的密码不正确。
の所持数が足りません	stock insufficient.	的持有數不足。	的持有数量不足
{0}の受け取りができませんでした。	{0} could not be received.	無法收取{0}。	未成功领取{0} 。
{0}と戦友になりました。	{0} has become your Friend.	與{0}成為戰友了。	与{0}成为了战友。
{0}と交換します。	Exchange for {0}.	與{0}進行交換。	与{0}进行交换。
デート	Encontro	約會	约会
チュートリアルバトルを最初からやりなおします。	Restarting Tutorial Battle from the beginning.	重新進行教學對戰。	重头开始进行教学对战。
ダメージ	Damage	傷害	伤害
ただし、ドロップや経験値を取得することはできません。	"However, item drops and XP will not be gained upon completion."	不過將無法取得掉落物與經驗值。	但无法获取掉落物品及经验值。
タイトル画面へもどります。よろしいですか？	Retornar à Tela de Título?	確定要回到標題畫面嗎？	确定返回到标题画面吗？
タイトル画面に戻り、マスターデータの更新を試みます。	Return to Title Screen and try updating the master data.	回到標題畫面並更新主資料。	返回标题画面，尝试更新主数据。
その他	Other	其他	其他
その場合、必要な都度ダウンロードを実行します	"In this case, downloads will be carried out as necessary."	必要時將再次進行下載	此时将在每次有需要时执行下载
ストア	Store	商店	商店
スタートダッシュログインボーナス	Bônus de Login: Início Rápido 	新手衝刺登入獎勵	新手冲刺登录奖励
スキル強化アイテム	Skill Upgrade item	技能強化道具	技能强化道具
スキル強化	Skill Upgrade	強化技能	强化技能
コンティニューに失敗しました	Failed to continue.	接關失敗	继续操作失败
これ以上コンティニューすることはできません。	Continuing is no longer possible.	無法繼續接關。	无法继续。
コストを減らしてください。	Lower party cost to proceed.	請降低COST。	请减少消耗。
ここではクエストに使用するチームの編成や<br>アイテムを使用したカードの強化のほかに<br>手に入れたキャラクターカードの<br>詳細を見ることができます。<br><br>「チーム編成」を選択しましょう。	"Veja os times que você formou para missões,<br>aprimore cartas usando itens<br>e veja detalhes da carta de personagem.<br><br>Selecione Editar Equipe."	在此可以編輯任務的隊伍，<br>或是使用道具強化卡片，<br>還可以查看已獲得的角色卡片詳細內容。<br><br>選擇「編組隊伍」吧。	在这里不仅可以组建要上阵的队伍、<br>使用道具强化卡片，<br>还可以查看已获取的角色卡片之详细信息。<br><br>请选择“组建队伍”。
ここではアイテムやコインを消費して<br>キャラクターカードのレベルアップを行うことができます。<br>「CLICK SELECT ITEM」を<br>どれか一つ押しましょう。	Use itens ou moedas para upar o level das cartas de personagem.<br>Toque em um dos seguintes:<br>CLIQUE PARA SELECIONAR ITEM	在此可以消耗道具和錢幣<br>以提升角色卡片等級。<br>請任意點擊一個「CLICK SELECT ITEM」。	在这里可以通过消耗道具或金币让角色卡片升级。<br>请按下“CLICK SELECT ITEM”中的任意一个。
コイン	Coins	錢幣	金币
ゲストプレイヤー	Guest Player	支援玩家	受邀玩家
ゲームプレイ中のローディング時間を短縮し	Reduce loading time during gameplay	可縮短遊戲進行中的讀取時間	缩短游戏进行中的加载时间
ゲームデータが更新されました。	Game data has been updated.	已更新遊戲資料。	游戏数据已更新。
クエストを進める	Continue Quest	進行任務	进行任务
クエストデータの通信にてエラーが発生しました。	Connection interrupted while transferring quest data.	讀取任務資訊時發生錯誤。	任务数据发生了通信错误。
クエストデータの取得に失敗しました。	Failed to acquire quest data.	無法取得任務資訊。	任务数据获取失败。
クエストシナリオ	Quest Scenario	任務劇情	任务剧情
クエスト	Quest	任務	任务
ギルド機能が解放されました！	The following Guild features have been unlocked!	開放了公會功能！	公会功能已解锁！
ギルドランク{0}以上	Beyond Guild Rank {0}	公會階級{0}以上	公会排名{0}以上
キャラクエスト	Missão de Personagem	角色任務	角色任务
キャラ	Personagem	角色	角色
キャッシュを削除しました。	Cache has been cleared.	已刪除快取資料。	已删除缓存。
キャッシュを削除しています。	Clearing cache.	正在刪除快取資料。	正在删除缓存。
キャッシュの削除に失敗しました。アプリを再起動して、もう一度お試しください	Failed to clear cache. Please restart app and try again.	清除快取資料失敗，請於重新啟動APP後再度嘗試	缓存删除失败。请重启APP后重试
が不足しています。	deficiency.	不足。	不足。
{0}からの申請を本当に破棄してよろしいですか？	{0}'s request will be rejected. Are you sure?	是否要取消來自{0}的申請？	确定要取消{0}提交的申请吗？
{0}からクライアントの更新をしてください。	Atualize o aplicativo pela {0}.<br>E veja se a uma versão nova para a tradução no https://coisasdoheru.carrd.co .	請執行自{0}的客戶端更新。	请通过{0}更新客户端。
カード限界突破	Card Breakthrough	卡片突破界限	卡片突破界限
カードのレベルアップが完了しました！<br>マップ画面へ戻り、「新宿区」から<br>新しいクエストに進みましょう。<br><br>左上の「戻る」を選択することで<br>前の画面に戻ることができます。	Sua carta foi upada!<br>Volte para a tela do mapa e<br> prossiga para a nova missão no Distrito de Shinjuku!<br><br>Você pode retornar à tela anterior<br>selecionando Voltar no canto superior esquerdo da tela.	卡片等級提升完畢！<br>回到地圖畫面，<br>從「新宿區」進行新的任務吧。<br><br>選擇左上的「返回」<br>可以回到上一個畫面。	卡片升级完成！<br>请返回地图画面，<br>从“新宿区”开始新的任务吧。<br><br>选择左上方的“返回”，<br>就能回到上一个画面。
カードスキルLv	Level de Skill	卡片技能等級	卡片技能等级
カード	Carta	卡片	卡片
オマケ	Bônus	贈品	附赠
オプション項目を選択して下さい。	Selecione uma opção.	請選擇項目。	请选择选项。
